naics_code,earnings_seasonal_amplitude,peak_quarter_earnings,peak_excess_earnings,trough_quarter_earnings,trough_excess_earnings,n_earnings_excess_obs,earnings_seasonal_index,sector_2d,sector_label,idio_earnings_seasonal_amplitude,idio_peak_quarter_earnings,idio_peak_excess_earnings,idio_trough_quarter_earnings,idio_trough_excess_earnings,idio_n_earnings_excess_obs,idio_earnings_seasonal_index
333912,0.09019632053281457,1,0.04557915431642705,3,-0.044617166216387526,23,0.16279661764481676,33,Manufacturing - metals/machinery,0.1189769325148261,1,0.07690326045529611,4,-0.042073672059530005,23,0.21351669304841459
814110,0.09012467547528477,4,0.054213574637754364,1,-0.03591110083753041,23,0.16266730446476774,81,Other services,0.05538800031937792,3,0.024406600089833547,4,-0.030981400229544376,24,0.09939962657286021
445291,0.08974626659103258,4,0.04560369124878055,1,-0.04414257534225202,23,0.1619843089048702,44,Retail trade - general,0.0817453349367269,3,0.04215405131820871,4,-0.039591283618518186,24,0.1467006521255703
522130,0.08849721602141794,4,0.05142862203457726,2,-0.037068593986840676,23,0.15972987982395648,52,Finance & insurance,0.08533891638300375,1,0.051572563550282266,4,-0.03376635283272148,23,0.1531497142285419
713210,0.08846366493422633,4,0.05607236212014776,1,-0.03239130281407858,23,0.15966932299102987,71,"Arts, entertainment & recreation",0.06672060463425242,3,0.03759799188710143,4,-0.02912261274715098,24,0.11973718399506615
517810,0.08832850922461924,1,0.05111671354346021,3,-0.037211795681159024,23,0.15942537853465466,51,Information,0.1461399237794288,1,0.08244081968232927,4,-0.06369910409709953,23,0.26226355469235735
513199,0.08800140949424773,4,0.05232752199134527,2,-0.03567388750290245,23,0.15883499159400735,51,Information,0.07760398670350067,1,0.044736533827547206,4,-0.03286745287595347,23,0.13926856457019338
561510,0.08793240981973734,4,0.048239252812026075,2,-0.03969315700771126,23,0.1587104531032737,56,Administrative & waste services,0.09262879797022737,1,0.055673075914954705,4,-0.036955722055272665,23,0.1662321779996141
712110,0.08756194014266606,4,0.04362547492982021,3,-0.04393646521284585,23,0.15804178713097133,71,"Arts, entertainment & recreation",0.07983718272781255,2,0.038267682790334025,4,-0.04156949993747853,24,0.14327627110591637
445131,0.08747218551941335,4,0.04564397788247599,1,-0.04182820763693736,23,0.15787978773900932,44,Retail trade - general,0.0715443470552175,3,0.03199335007039475,4,-0.03955099698482275,24,0.1283939001170209
925120,0.08722444737163867,4,0.051524945921631905,1,-0.03569950145000677,23,0.15743264164390186,92,Public administration,0.0548136269873503,3,0.02114359804168347,4,-0.033670028945666834,24,0.09836885286036386
311411,0.08692999546462221,4,0.03923084044420529,1,-0.04769915502041693,23,0.15690118122247695,31,Manufacturing - food/textiles,0.10619447901883818,3,0.06023034459574472,4,-0.04596413442309345,24,0.19057722787798428
459991,0.08687771777566167,4,0.04618655714930638,2,-0.040691160626355284,23,0.15680682448053015,45,Retail trade - specialty,0.10578221799345161,1,0.06677380027545925,4,-0.03900841771799236,23,0.18983738185108898
311421,0.08645055088401771,2,0.046042413882424214,1,-0.040408137001593486,24,0.15603582490184795,31,Manufacturing - food/textiles,0.14931727929172964,3,0.0521660809137095,4,-0.09715119837802014,24,0.2679656553204861
488190,0.08631618665100405,4,0.060263366130658434,1,-0.026052820520345604,23,0.155793308992797,48,Transportation,0.05178702935085182,3,0.026855420614211516,4,-0.024931608736640305,24,0.09293730319040766
334210,0.08572197620143854,4,0.052968883564893356,2,-0.03275309263654519,23,0.15472081012824215,33,Manufacturing - metals/machinery,0.0634654346812254,1,0.03123934337882001,4,-0.032226091302405384,23,0.11389543712035761
812930,0.0856640420419806,4,0.05450799900035626,1,-0.031156043041624334,23,0.1546162439425027,81,Other services,0.06405789128518499,3,0.03337091541824251,4,-0.03068697586694248,24,0.11495866317752954
322212,0.08552184674592851,4,0.049267064466836284,2,-0.03625478227909223,23,0.15435959363675258,32,Manufacturing - paper/chemicals,0.07133367095489557,1,0.03540576055443312,4,-0.035927910400462455,23,0.1280158195656546
