naics_code,sector_2d,sector_label,seasonal_index_early,peak_excess_early,peak_quarter_early,n_excess_obs_early,rank_early,seasonal_index_late,peak_excess_late,peak_quarter_late,n_excess_obs_late,rank_late,seasonal_index_delta,rank_delta,peak_quarter_changed
332993,33,Manufacturing - metals/machinery,0.014611868804715879,0.00431362368215182,3,11,955.0,0.012212048064901126,0.0042287273078783615,3,13,983.0,-0.0023998207398147533,-28.0,False
424340,42,Wholesale trade,0.04799148783326017,0.013078800632350774,4,10,609.0,0.04564134162592526,0.012304743275608722,3,13,585.0,-0.0023501462073349105,24.0,True
323117,32,Manufacturing - paper/chemicals,0.03429559225782204,0.009434322253490614,2,11,750.0,0.03196162339458638,0.008511458016048233,3,13,794.0,-0.0023339688632356623,-44.0,True
311813,31,Manufacturing - food/textiles,0.051460798869927916,0.011952640408170827,4,10,575.0,0.04916878904115591,0.008904619459305218,3,13,546.0,-0.002292009828772007,29.0,True
212390,21,"Mining, quarrying, oil & gas",0.030910623429695933,0.010225005937323752,3,11,797.0,0.02870284978658415,0.009180305576785206,3,13,841.0,-0.0022077736431117823,-44.0,False
339991,33,Manufacturing - metals/machinery,0.02889337077524174,0.00958002309690553,3,11,816.0,0.02673290703878915,0.00794223192353324,3,13,875.0,-0.0021604637364525912,-59.0,False
922190,92,Public administration,0.03522673798431488,0.014093345972262123,3,11,738.0,0.03306980451414195,0.010792155737350801,3,13,775.0,-0.002156933470172928,-37.0,False
623110,62,Health care & social assistance,0.04398545278461983,0.014367204914417099,3,11,645.0,0.04184556998961185,0.010532665819153646,3,13,630.0,-0.002139882795007979,15.0,False
459140,45,Retail trade - specialty,0.06938523701753727,0.017879292451560086,4,10,455.0,0.06745595368969388,0.020396159658581752,3,13,406.0,-0.0019292833278433813,49.0,True
811210,81,Other services,0.04756953793616383,0.010526566184158558,4,10,617.0,0.04565994867665566,0.012020775767269828,4,12,584.0,-0.0019095892595081682,33.0,False
921130,92,Public administration,0.0478313646772395,0.011533134674824363,3,11,611.0,0.046057177006017,0.008320203864827262,3,13,580.0,-0.0017741876712225046,31.0,False
